Fid,Gender,Age,Bank_Account,Bank_Name,Trans_Amount,Transno,Balance,Trans_Type,Trans_Date,Location,Fraud
185.115.248.235.253.28-81,Female,55,PNRJ76037063357762,Pioneer Savings,6573.73,6152,7509.6,Debit,2023-05-05,New York,1
25.141.5.198.37.170-30,Female,64,PVSO20902428614475,Global Bank,2357.33,7495,21992.67,Credit,2022-06-05,Tokyo,1
211.90.160.189.48.242-45,Male,35,DSKO65162367702254,Pioneer Savings,1080.52,3078,41725.97,Debit,2023-11-21,Sydney,0
20.153.127.49.138.213-15,Female,43,NCSV95076657141256,Capital Trust,8096.3,6645,1560.24,Credit,2024-09-28,Mumbai,0
197.41.22.17.152.21-32,Male,30,FAJC87892016374542,Pioneer Savings,7438.42,3356,2344.69,Debit,2023-08-07,Berlin,1
234.68.202.70.230.221-27,Male,53,RPHT06283850292988,Capital Trust,7743.48,8680,29237.22,Debit,2023-12-31,New York,0
224.48.151.122.131.36-16,Female,50,KCXM22931035724861,Pioneer Savings,7883.42,2831,38190.34,Debit,2023-05-07,Mumbai,0
57.250.201.237.182.45-71,Female,18,DMRL32706035454497,Capital Trust,7175.64,5947,10317.01,Credit,2023-09-13,London,0
219.25.158.52.229.84-16,Female,48,MBFN12734913653775,Pioneer Savings,7799.18,7334,9052.1,Credit,2024-11-05,Berlin,1
169.166.180.12.193.55-45,Male,47,KNSD87631260775026,Unity Bank,9569.73,7782,26885.68,Credit,2024-11-27,London,1
84.2.221.61.123.65-67,Male,21,ZJPT65452777682792,Pioneer Savings,4835.81,6059,39077.48,Credit,2024-09-11,London,0
171.165.250.86.249.254-69,Male,63,KRQN23014411341898,Global Bank,1968.35,8184,41810.33,Debit,2023-03-04,Mumbai,0
39.3.168.148.251.171-70,Male,41,CDYD30744134456562,Capital Trust,4364.99,8124,12279.58,Credit,2022-06-08,Beijing,0
68.251.41.200.136.160-45,Female,26,LAGS44959343670211,Pioneer Savings,6845.06,5918,14095.41,Debit,2024-01-07,Tokyo,1
89.140.39.123.55.57-65,Female,63,UKIS66827338716846,Unity Bank,7173.69,3454,13895.11,Credit,2022-03-09,Berlin,0
31.76.96.13.192.249-43,Female,64,FYFE73220663148918,Pioneer Savings,9173.33,3756,9073.67,Debit,2022-03-02,Berlin,1
90.114.148.34.223.92-25,Male,27,AKUU90738096064411,Capital Trust,3155.4,3967,7374.24,Credit,2024-03-12,Beijing,0
38.152.44.244.155.66-89,Female,55,NLUO22570469120947,Unity Bank,1503.78,7096,39916.97,Credit,2023-03-12,Mumbai,0
155.87.202.148.56.158-60,Male,44,TLVS75398367826467,Unity Bank,4855.05,6038,5560.22,Debit,2022-03-27,Berlin,1
212.53.68.83.37.155-42,Male,68,DZOY42970136498544,Pioneer Savings,1263.38,6695,24882.28,Debit,2023-03-31,New York,1
103.15.99.246.152.193-61,Female,33,WZOG84147119663621,Unity Bank,3744.56,5332,45473.79,Debit,2022-10-24,Berlin,0
154.133.170.186.9.185-49,Male,38,MCZP16423636021639,Capital Trust,2490.28,9424,32537.99,Debit,2024-09-26,Berlin,1
212.181.243.42.192.40-66,Male,26,YDWY26307307860520,Capital Trust,4637.81,6881,17670.6,Debit,2024-11-29,Beijing,0
8.131.209.248.30.178-57,Female,20,EFTU89728773693737,Summit Bank,6987.43,5850,9328.14,Credit,2022-01-25,Mumbai,0
63.168.102.216.66.129-64,Male,69,AIOM63653530892647,Capital Trust,4016.68,5500,27793.8,Credit,2022-09-24,Sydney,0
201.50.107.233.109.92-50,Female,45,SXJF79137448651689,Global Bank,5363.64,7685,7915.53,Credit,2023-06-28,New York,1
85.161.206.208.62.235-18,Male,77,HNYH84063590577675,Summit Bank,9388.26,4978,36041.28,Debit,2023-12-24,Berlin,1
9.208.96.250.40.133-21,Male,64,GZQW00047694279180,Unity Bank,274.62,6106,34790.95,Credit,2024-03-11,Tokyo,0
225.46.142.202.80.14-24,Male,61,NILQ24993368942904,Global Bank,7516.37,5238,45800.3,Debit,2023-05-07,Tokyo,1
27.129.238.78.146.20-51,Male,66,LQBC36624510962974,Pioneer Savings,4437.14,1526,23895.39,Debit,2022-02-05,Berlin,0
80.197.213.244.130.65-61,Male,22,ZBAF73740583848086,Capital Trust,1064.23,9105,36571.1,Debit,2023-04-05,Sydney,0
9.66.133.121.14.42-27,Female,34,UYOD46821400969953,Pioneer Savings,6860.21,4976,27090.53,Debit,2022-11-28,London,0
140.181.125.178.84.200-39,Female,65,CETY02557586488214,Global Bank,2046.46,9262,3983.4,Debit,2023-06-26,Tokyo,1
173.14.168.221.124.186-38,Female,52,WRPX99120365845847,Unity Bank,9136.37,8043,37633.42,Debit,2022-12-30,Beijing,0
141.29.133.62.246.227-94,Female,33,XNPY50743825530376,Capital Trust,7078.91,4955,30321.33,Credit,2022-05-07,New York,0
25.208.189.216.255.185-31,Male,35,NQZU82995290808166,Pioneer Savings,9010.26,2655,19530.83,Debit,2023-11-19,Berlin,1
195.197.78.162.103.181-41,Male,25,BVKT12696846421723,Global Bank,5871.43,4658,13272.64,Credit,2023-02-10,New York,0
51.250.68.177.43.170-31,Female,68,QTJV39189151036249,Capital Trust,828.12,4089,36741.68,Debit,2022-09-09,Berlin,0
204.8.172.58.55.80-22,Female,43,CUQU47861703113739,Unity Bank,7817.95,9659,13801.02,Credit,2023-06-21,Mumbai,1
104.5.120.140.16.171-73,Male,37,PQLV56138431114734,Unity Bank,6034.94,5651,14403.48,Debit,2022-01-14,Tokyo,0
169.87.168.220.124.253-89,Female,27,PJSI74494703713508,Pioneer Savings,1494.05,5005,42672.41,Credit,2022-03-13,Tokyo,1
196.89.100.208.168.67-13,Female,18,UDPR61580539472426,Pioneer Savings,7194.79,7279,44925.45,Debit,2023-11-04,Tokyo,1
52.151.226.168.42.87-67,Male,40,SRPY27245734989682,Global Bank,2256.83,4386,39618.65,Debit,2023-02-06,London,1
23.73.159.31.39.165-98,Male,41,IYJD69282715488687,Pioneer Savings,5577.09,6765,20031.61,Debit,2024-08-16,Beijing,1
46.146.205.130.229.161-74,Female,56,LTWL03455511819516,Capital Trust,6085.29,3404,43066.01,Credit,2024-03-08,London,0
72.33.193.32.248.62-71,Female,67,LNKW19874847390848,Summit Bank,9011.81,5967,33772.63,Debit,2022-12-18,Sydney,1
74.4.114.44.209.177-46,Male,59,XPKB03723971602230,Summit Bank,3241.1,9595,12445.3,Debit,2024-03-15,Berlin,1
107.129.140.133.33.145-56,Male,68,PXXB40068923563970,Global Bank,2771.83,4992,30196.75,Credit,2024-10-29,Sydney,0
172.24.110.197.42.156-52,Female,25,RUHA17051066621060,Unity Bank,583.24,5532,42554.53,Debit,2024-04-30,Berlin,1
78.190.177.165.97.1-72,Male,57,OWWI36003944630979,Summit Bank,4890.87,5764,8620.26,Credit,2022-10-26,Sydney,1
114.68.94.44.11.203-31,Male,21,MPOD19537976205259,Global Bank,379.38,8735,3589.29,Debit,2024-11-13,Tokyo,0
64.151.72.232.145.41-87,Female,50,GRKY24801029688327,Global Bank,9090.29,4040,33568.07,Credit,2024-03-12,Sydney,0
12.81.207.141.186.221-26,Male,23,XWGX12542570390656,Unity Bank,8097.84,2317,42810.28,Credit,2023-06-01,Sydney,1
54.110.184.42.207.170-58,Female,29,GDIZ79674930514359,Pioneer Savings,7386.37,6215,8701.18,Debit,2023-01-08,Beijing,1
32.117.151.4.0.42-21,Female,35,PSXX24634858661722,Unity Bank,4700.9,7364,15808.25,Debit,2022-09-28,London,1
215.187.239.199.219.182-46,Female,25,CNRF37540129572391,Summit Bank,9513.03,6150,37042.26,Credit,2023-09-20,Sydney,1
232.39.21.166.230.185-58,Female,31,YJGI70480572863380,Capital Trust,9140.94,8618,11550.65,Debit,2022-07-15,New York,0
187.57.236.211.233.137-21,Male,66,WXUU76793550748276,Pioneer Savings,3562.94,3065,28291.27,Debit,2024-05-29,Beijing,1
220.88.120.229.236.86-44,Male,73,KZZQ29765870910666,Unity Bank,3155.05,6425,10152.96,Debit,2022-12-02,Mumbai,0
9.35.99.158.173.192-76,Male,59,DFWJ63667879020712,Pioneer Savings,6539.76,1629,13324.38,Debit,2023-07-01,Beijing,1
246.118.99.138.115.107-97,Female,58,ZANO79613748713896,Global Bank,9353.27,5853,40958.6,Debit,2022-02-27,Beijing,0
132.180.47.212.142.83-38,Male,66,VBGN30986502310856,Unity Bank,1954.77,5824,22871.84,Debit,2023-10-29,Sydney,1
114.25.158.234.84.22-63,Female,39,EPRW01965078037540,Summit Bank,2221.38,4393,17839.67,Credit,2023-04-16,New York,1
190.221.29.236.116.77-20,Female,25,IEHY31033668315423,Summit Bank,6655.34,7062,9422.24,Debit,2023-04-28,London,1
152.254.241.167.80.223-34,Female,18,UCVU65329493290491,Capital Trust,677.67,6617,23173.12,Credit,2022-07-30,New York,0
23.193.110.47.67.164-17,Female,76,YHZR99412756492496,Summit Bank,738.38,8244,26011.39,Debit,2022-12-25,Sydney,0
63.219.248.72.37.155-29,Male,75,IWNL07460390101629,Pioneer Savings,2982.53,9145,15808.27,Debit,2023-03-16,Mumbai,0
28.214.236.204.110.237-17,Female,71,AEXB90901550714352,Unity Bank,6810.59,8698,16146.91,Debit,2024-04-20,Sydney,0
201.58.184.134.151.163-30,Female,63,HHAX25512849164138,Capital Trust,3335.42,2896,8593.86,Debit,2024-02-23,Beijing,0
139.228.169.5.201.195-62,Male,25,NVQT24446292101509,Unity Bank,7898.97,2408,45605.46,Credit,2023-11-14,Beijing,1
49.40.223.180.61.186-19,Female,52,WFNP50218963821160,Summit Bank,6624.6,5181,48692.18,Debit,2024-10-07,Berlin,0
32.130.23.156.200.109-84,Male,41,JZBI00633203664589,Global Bank,4939.01,1698,42756.04,Credit,2022-01-23,Sydney,1
178.6.177.17.131.131-79,Female,37,CRVR23513941436246,Pioneer Savings,4471.13,2774,31780.76,Credit,2024-05-24,Tokyo,0
247.230.186.103.5.20-91,Female,23,ZTJE91671604874172,Capital Trust,437.59,5570,30396.96,Credit,2024-04-11,London,1
249.115.40.162.81.250-70,Female,33,XVTD27930053958007,Global Bank,4835.64,7407,48661.26,Credit,2022-10-08,New York,0
132.85.62.73.243.21-28,Female,69,CXZL43097439960968,Pioneer Savings,7476.86,3127,26104.41,Credit,2022-08-21,Tokyo,0
197.89.176.0.8.108-47,Female,25,TJVX55071580509364,Unity Bank,3072.24,3615,46852.57,Debit,2024-06-10,London,0
136.162.206.131.235.154-77,Male,33,RBAU71971329092173,Pioneer Savings,9479.22,8794,13366.54,Debit,2023-07-10,Beijing,0
29.220.74.1.80.57-86,Female,67,OHZX12240921310314,Unity Bank,4450.46,6955,12812.96,Debit,2023-08-02,Tokyo,1
157.196.227.92.227.180-98,Male,62,RPXM36749826535624,Global Bank,3937.95,9547,4849.82,Debit,2024-03-13,London,0
244.12.166.77.64.195-36,Male,79,GPJG30956395976640,Capital Trust,216.31,5583,3563.38,Credit,2023-12-05,London,0
155.145.121.99.19.19-81,Male,52,RNFF47560183593963,Global Bank,2317.9,6519,31972.09,Debit,2023-06-25,Berlin,1
230.117.4.204.104.198-28,Female,22,LZNL28478679543145,Unity Bank,4263.03,1029,2652.98,Debit,2023-10-03,Berlin,1
104.239.235.91.237.175-49,Female,28,YPSS33407556784218,Unity Bank,6762.69,9560,3087.85,Credit,2023-04-19,Mumbai,0
7.136.52.43.46.245-40,Male,21,LMPG20258660691679,Pioneer Savings,151.74,8464,27771.67,Debit,2021-12-21,Berlin,1
231.195.104.254.45.3-85,Male,40,WNML48870059129697,Global Bank,1363.91,5496,5817.39,Debit,2022-10-29,Mumbai,1
149.145.94.167.95.95-86,Female,44,GGNH30481935416085,Pioneer Savings,5060.28,5325,41885.55,Debit,2023-06-26,Mumbai,1
148.201.249.175.40.52-36,Female,51,JGJT58097120485083,Pioneer Savings,216.16,4323,5077.31,Credit,2022-06-07,Beijing,1
246.23.16.117.3.14-33,Male,44,WRCG03963201328806,Capital Trust,1806.14,2172,44701.41,Credit,2024-09-05,Beijing,1
66.150.171.179.186.96-29,Male,23,JSPC34999947154485,Summit Bank,2209.33,9455,24858.64,Debit,2023-04-04,Beijing,0
250.201.23.232.169.186-98,Male,70,NDQV53162684541971,Summit Bank,759.39,2054,12693.56,Debit,2023-12-22,Mumbai,1
210.10.85.181.109.41-82,Male,47,BQDU48462725656205,Capital Trust,6349.87,9578,24719.64,Credit,2023-07-18,Tokyo,0
158.6.226.21.188.42-85,Male,70,CFNN68862981443963,Capital Trust,3037.74,2845,20857.88,Credit,2024-10-24,New York,1
173.249.199.60.68.31-24,Male,33,IIER61083714510141,Unity Bank,5214.88,2108,20101.35,Credit,2023-06-17,Berlin,0
126.122.186.7.205.10-74,Male,41,VPFN78587053355494,Pioneer Savings,6711.92,6661,37205.6,Credit,2023-08-24,London,1
238.174.246.168.201.185-16,Male,72,WFGY47697934473033,Global Bank,6007.74,1196,4556.34,Credit,2022-04-26,Berlin,1
100.84.22.38.169.113-80,Male,65,QMTG71877277679528,Unity Bank,5035.14,8812,23324.51,Credit,2023-11-16,Tokyo,1
23.252.232.67.135.121-52,Female,41,JGZX63967742261454,Unity Bank,7505.32,3406,18018.83,Debit,2023-01-30,New York,1
226.144.250.139.60.213-70,Female,49,NHJV79778841802660,Global Bank,5757.42,3823,20907.81,Debit,2022-06-25,Sydney,1
103.200.211.32.119.108-28,Male,24,MKKA43118124147046,Pioneer Savings,2151.61,9016,30599.2,Debit,2022-05-11,Sydney,1
26.126.144.30.31.28-60,Male,28,XWOH71295940324517,Global Bank,2183.77,5745,18635.49,Credit,2023-04-28,New York,0
30.199.149.193.12.225-50,Female,69,WHGA04821939456223,Unity Bank,7418.93,5813,19491.03,Debit,2022-04-14,Tokyo,0
154.61.17.157.223.255-74,Male,38,EXNH12482496608178,Capital Trust,4920.45,8919,32302.19,Debit,2022-03-17,Berlin,1
112.83.249.213.26.103-13,Male,76,CWZU73789714063001,Unity Bank,1992.66,3671,35785.57,Debit,2023-05-19,London,0
104.227.249.7.24.52-20,Male,59,ZJDT59779506557174,Unity Bank,3408.53,3340,14242.79,Debit,2022-02-22,Mumbai,1
30.7.202.148.118.197-94,Male,48,QHEB35409760794355,Global Bank,1165.73,6424,34392.57,Debit,2024-04-12,Sydney,0
31.210.224.107.198.179-80,Female,20,EFGL04850935537660,Capital Trust,8985.12,5522,8493.73,Credit,2022-05-09,Beijing,0
157.133.18.229.158.128-43,Male,33,BQQE64797512013758,Capital Trust,5816.92,8300,35933.83,Debit,2022-05-09,Tokyo,1
207.95.113.62.37.46-51,Male,71,VHOX93822616386362,Capital Trust,7487.41,5410,4029.39,Debit,2022-07-26,New York,0
133.127.34.90.104.98-89,Male,58,GTIL23095148917265,Global Bank,4764.25,2305,40023.52,Debit,2024-07-31,Beijing,0
193.160.241.79.25.83-20,Male,80,UAMC25465589441911,Unity Bank,5769.25,7309,42497.05,Credit,2024-11-06,Sydney,1
43.252.158.214.217.127-37,Female,63,UWZO28490589286130,Unity Bank,4311.42,8191,18316.22,Debit,2022-11-17,Mumbai,0
110.32.98.248.64.60-61,Male,69,MQVD58576589887342,Pioneer Savings,9792.7,1098,42170.51,Credit,2024-04-20,Berlin,0
249.231.44.98.138.22-62,Female,29,KMMO45843381205469,Global Bank,8218.32,9709,46921.21,Credit,2023-11-27,New York,0
252.60.181.138.6.177-10,Female,49,JGYF68668809892860,Summit Bank,1265.89,3400,6487.99,Credit,2022-02-14,Mumbai,1
193.141.57.13.199.162-36,Male,48,ONDS02043740199779,Global Bank,185.97,6868,19062.49,Credit,2023-01-26,Berlin,0
42.191.24.140.126.40-25,Male,67,ZTTS00953775364844,Capital Trust,7073.15,3349,36321.54,Debit,2024-06-26,Beijing,1
122.195.109.233.86.81-91,Female,24,EZKC21034749200320,Pioneer Savings,9330.72,4669,47879.33,Credit,2024-11-01,Beijing,1
212.80.91.94.121.140-91,Female,62,ULKR86475222392951,Pioneer Savings,1620.19,6501,31342.19,Credit,2022-04-01,Mumbai,1
146.132.208.146.116.169-30,Male,28,URZE71565997472767,Unity Bank,7954.12,9506,11494.69,Debit,2024-09-11,London,0
56.125.76.143.231.123-13,Male,79,KQAW45838634410700,Capital Trust,1478.38,3303,36516.26,Debit,2022-06-14,London,1
149.30.199.228.67.90-16,Male,47,EAGO34799191351113,Global Bank,8332.08,8001,22503.51,Debit,2022-10-27,New York,1
